PlayerName,PlayerUID,InferredRace,RaceConfidence,InferredAge,InferredEmotion,EmotionConfidence,PlayerHeightWeight,PlayerBirthdate,PlayerCollege,PlayerDraftInfo,PlayerOverallStatus,PlayerURL
Sua Opeta,s:20~l:28~a:3121009,Middle Eastern,4969.53%,39,Happy,9985.49%,"6' 4"", 305 lbs",8/15/1996 (28),Weber St,N/A,QUESTIONABLE,https://www.espn.com/nfl/player/_/id/3121009/sua-opeta
Greg Gaines,s:20~l:28~a:3127294,White,9204.49%,28,Angry,5468.14%,"6' 1"", 312 lbs",5/6/1996 (29),Washington,"2019: Rd 4, Pk 134 (LAR)",Active,https://www.espn.com/nfl/player/_/id/3127294/greg-gaines
Vita Vea,s:20~l:28~a:3134362,Latino Hispanic,3063.03%,28,Happy,9998.47%,"6' 4"", 347 lbs",2/5/1995 (30),Washington,"2018: Rd 1, Pk 12 (TB)",Active,https://www.espn.com/nfl/player/_/id/3134362/vita-vea
Chase McLaughlin,s:20~l:28~a:3150744,White,9247.19%,24,Neutral,8886.00%,"6' 0"", 190 lbs",4/9/1996 (29),Illinois,N/A,Active,https://www.espn.com/nfl/player/_/id/3150744/chase-mclaughlin
Jamel Dean,s:20~l:28~a:3873935,Black,9989.93%,40,Neutral,9346.17%,"6' 1"", 206 lbs",10/15/1996 (28),Auburn,"2019: Rd 3, Pk 94 (TB)",Active,https://www.espn.com/nfl/player/_/id/3873935/jamel-dean
Anthony Nelson,s:20~l:28~a:3894856,White,8969.70%,26,Neutral,9262.36%,"6' 7"", 271 lbs",3/4/1997 (28),Iowa,"2019: Rd 4, Pk 107 (TB)",Active,https://www.espn.com/nfl/player/_/id/3894856/anthony-nelson
Charlie Heck,s:20~l:28~a:3895840,White,9819.59%,30,Happy,9900.39%,"6' 8"", 311 lbs",11/20/1996 (28),North Carolina,"2020: Rd 4, Pk 126 (HOU)",Active,https://www.espn.com/nfl/player/_/id/3895840/charlie-heck
Ko Kieft,s:20~l:28~a:4034779,White,10000.00%,34,Neutral,9145.00%,"6' 5"", 265 lbs",1/20/1998 (27),Minnesota,"2022: Rd 6, Pk 218 (TB)",Active,https://www.espn.com/nfl/player/_/id/4034779/ko-kieft
Antoine Winfield Jr.,s:20~l:28~a:4034790,Black,5924.05%,30,Neutral,9987.13%,"5' 9"", 203 lbs",8/16/1998 (26),Minnesota,"2020: Rd 2, Pk 45 (TB)",Active,https://www.espn.com/nfl/player/_/id/4034790/antoine-winfield-jr
Kyle Trask,s:20~l:28~a:4034946,White,7513.24%,27,Happy,9717.29%,"6' 5"", 236 lbs",3/6/1998 (27),Florida,"2021: Rd 2, Pk 64 (TB)",Active,https://www.espn.com/nfl/player/_/id/4034946/kyle-trask
Kindle Vildor,s:20~l:28~a:4036651,Black,10000.00%,31,Happy,5685.82%,"5' 11"", 189 lbs",12/11/1997 (27),GA Southern,"2020: Rd 5, Pk 163 (CHI)",Active,https://www.espn.com/nfl/player/_/id/4036651/kindle-vildor
Bryce Hall,s:20~l:28~a:4037584,Black,8944.72%,30,Happy,9831.95%,"6' 1"", 202 lbs",11/5/1997 (27),Virginia,"2020: Rd 5, Pk 158 (NYJ)",Active,https://www.espn.com/nfl/player/_/id/4037584/bryce-hall
Ben Bredeson,s:20~l:28~a:4046551,Latino Hispanic,3926.58%,27,Happy,9724.22%,"6' 5"", 315 lbs",2/20/1998 (27),Michigan,"2020: Rd 4, Pk 143 (BAL)",Active,https://www.espn.com/nfl/player/_/id/4046551/ben-bredeson
C.J. Brewer,s:20~l:28~a:4052017,Black,9997.88%,38,Happy,7810.87%,"6' 2"", 290 lbs",11/22/1997 (27),Coast Carolina,N/A,Active,https://www.espn.com/nfl/player/_/id/4052017/cj-brewer
Tristan Wirfs,s:20~l:28~a:4240589,Latino Hispanic,3373.24%,23,Neutral,9989.30%,"6' 5"", 320 lbs",1/24/1999 (26),Iowa,"2020: Rd 1, Pk 13 (TB)",QUESTIONABLE,https://www.espn.com/nfl/player/_/id/4240589/tristan-wirfs
Silas Dzansi,s:20~l:28~a:4240865,White,8478.19%,38,Happy,9134.67%,"6' 5"", 335 lbs",6/13/1998 (27),Virginia Tech,N/A,Active,https://www.espn.com/nfl/player/_/id/4240865/silas-dzansi
